axis_level,method,n_tau,crps,crps_analytic_gaussian
100,kriging,199,1.475622059112936,
100,sgs,199,1.580503924487331,1.5804540667812177
100,rbf_bootstrap,199,1.8723762262971912,1.8721764752166545
100,gp_mle,199,1.469512705251123,1.4694789970390503
100,kriging,99,1.4757266963161098,
100,sgs,99,1.5806306081541561,1.5804540667812177
100,rbf_bootstrap,99,1.872631339202044,1.8721764752166545
100,gp_mle,99,1.4696074649673825,1.4694789970390503
100,kriging,499,1.4755888981874874,
100,sgs,499,1.5804645938360558,1.5804540667812177
100,rbf_bootstrap,499,1.8722441485383439,1.8721764752166545
100,gp_mle,499,1.4694845161160648,1.4694789970390503
100,kriging,999,1.4755825909213984,
100,sgs,999,1.5804571781474408,1.5804540667812177
100,rbf_bootstrap,999,1.87220704303336,1.8721764752166545
100,gp_mle,999,1.4694805294526847,1.4694789970390503
800,kriging,199,0.8317568947957958,
800,sgs,199,0.8726736922645589,0.8726320228242438
800,rbf_bootstrap,199,1.041742164669848,1.0416143753741027
800,gp_mle,199,0.844209511331832,0.8441884223546545
800,kriging,99,0.8318199085237462,
800,sgs,99,0.8727636718843825,0.8726320228242438
800,rbf_bootstrap,99,1.0419292203894501,1.0416143753741027
800,gp_mle,99,0.8442703655920005,0.8441884223546545
800,kriging,499,0.8317280986986237,
800,sgs,499,0.8726407564663068,0.8726320228242438
800,rbf_bootstrap,499,1.0416547747371803,1.0416143753741027
800,gp_mle,499,0.844192642155972,0.8441884223546545
800,kriging,999,0.8317220931723431,
800,sgs,999,0.8726349844119288,0.8726320228242438
800,rbf_bootstrap,999,1.0416317040857856,1.0416143753741027
800,gp_mle,999,0.8441895174836328,0.8441884223546545
