lag_bin_center_m,n_pairs,semivariance_empirical,semivariance_theoretical
12.5,345,0.9790606565486099,0.9840657552083332
37.5,1166,1.8835162822183278,2.044775390625
62.5,1782,2.6761385480159405,3.0832194010416667
87.5,1724,3.5269665300253696,4.084554036458333
112.5,3618,4.263510581848255,5.033935546875
137.5,3831,5.007313912477662,5.916520182291666
162.5,4114,5.693833932779616,6.717464192708333
187.5,4039,6.357976009704057,7.421923828124999
212.5,5852,6.855145931228119,8.015055338541664
237.5,5068,7.259792236645275,8.482014973958332
262.5,5768,7.578808708335796,8.807958984374999
287.5,5415,8.092041237667942,8.978043619791665
312.5,6822,8.44899251138839,8.999999999999998
337.5,6974,8.575617232567163,8.999999999999998
362.5,5986,9.029468057233915,8.999999999999998
387.5,6423,9.042298997706485,8.999999999999998
412.5,7741,9.49775246256749,8.999999999999998
437.5,6830,9.603914087523016,8.999999999999998
462.5,6431,9.402734946783514,8.999999999999998
487.5,6333,9.664115916779247,8.999999999999998
512.5,8163,9.97363511722475,8.999999999999998
537.5,6492,10.03078326381798,8.999999999999998
562.5,6561,10.246983464226197,8.999999999999998
587.5,6265,10.353898578509844,8.999999999999998
612.5,6937,10.475058593563151,8.999999999999998
637.5,6237,10.328060515373677,8.999999999999998
662.5,6215,10.498402465301764,8.999999999999998
687.5,5878,10.919784864568255,8.999999999999998
712.5,6251,10.759986226489696,8.999999999999998
737.5,5047,10.642157076958785,8.999999999999998
