axis_level,density_pct_actual,method,length_scale_m,length_definition,source
5,4.84,kriging,300.0,"input spherical variogram range (build_vario hmaj1/hmin1); held fixed across this axis, NOT fitted from the conditioning data",results/raw/kriging/20260914T184654Z/manifest.json:params.variogram.hmaj1
5,4.84,sgs,300.0,"input spherical variogram range (build_vario hmaj1/hmin1); held fixed across this axis, NOT fitted from the conditioning data",results/raw/sgs/20260914T141516Z/manifest.json:params.variogram.hmaj1
5,4.84,gp_mle,284.2601334553482,MLE-fitted sklearn RBF kernel length_scale converted to a practical range at the 0.05 correlation cutoff (factor=sqrt(2*ln(20))~=2.4477),results/processed/sample_density_axis/gp_hyperparameter_scale_conversion.csv
5,4.84,rbf_bootstrap,274.2481756762073,CV-tuned gaussian RBF interpolation kernel shape parameter epsilon converted to an equivalent 0.05-cutoff distance (r=sqrt(-ln(0.05))/epsilon); NOT a fitted spatial correlation length -- see RBF_CAVEAT,results/raw/rbf_bootstrap/20260917T230913430600Z/manifest.json:params.best_epsilon
2,2.0,kriging,300.0,"input spherical variogram range (build_vario hmaj1/hmin1); held fixed across this axis, NOT fitted from the conditioning data",results/raw/kriging/20260915T170318Z/manifest.json:params.variogram.hmaj1
2,2.0,sgs,300.0,"input spherical variogram range (build_vario hmaj1/hmin1); held fixed across this axis, NOT fitted from the conditioning data",results/raw/sgs/20260915T170419Z/manifest.json:params.variogram.hmaj1
2,2.0,gp_mle,293.94158193278133,MLE-fitted sklearn RBF kernel length_scale converted to a practical range at the 0.05 correlation cutoff (factor=sqrt(2*ln(20))~=2.4477),results/processed/sample_density_axis/gp_hyperparameter_scale_conversion.csv
2,2.0,rbf_bootstrap,274.2481756762073,CV-tuned gaussian RBF interpolation kernel shape parameter epsilon converted to an equivalent 0.05-cutoff distance (r=sqrt(-ln(0.05))/epsilon); NOT a fitted spatial correlation length -- see RBF_CAVEAT,results/raw/rbf_bootstrap/20260917T230857960395Z/manifest.json:params.best_epsilon
1,1.0,kriging,300.0,"input spherical variogram range (build_vario hmaj1/hmin1); held fixed across this axis, NOT fitted from the conditioning data",results/raw/kriging/20260915T170452Z/manifest.json:params.variogram.hmaj1
1,1.0,sgs,300.0,"input spherical variogram range (build_vario hmaj1/hmin1); held fixed across this axis, NOT fitted from the conditioning data",results/raw/sgs/20260915T170537Z/manifest.json:params.variogram.hmaj1
1,1.0,gp_mle,132.41026331047658,MLE-fitted sklearn RBF kernel length_scale converted to a practical range at the 0.05 correlation cutoff (factor=sqrt(2*ln(20))~=2.4477),results/processed/sample_density_axis/gp_hyperparameter_scale_conversion.csv
1,1.0,rbf_bootstrap,219.9214030112556,CV-tuned gaussian RBF interpolation kernel shape parameter epsilon converted to an equivalent 0.05-cutoff distance (r=sqrt(-ln(0.05))/epsilon); NOT a fitted spatial correlation length -- see RBF_CAVEAT,results/raw/rbf_bootstrap/20260917T230857962404Z/manifest.json:params.best_epsilon
