case,axis,axis_level,method,metric,value
sample_density_axis,sample_fraction_pct,5,gp_mle,mse,3.3998837020315715
sample_density_axis,sample_fraction_pct,5,gp_mle,umg,0.9611656821751732
sample_density_axis,sample_fraction_pct,5,gp_mle,variance_mean,2.8363723801774348
sample_density_axis,sample_fraction_pct,5,gp_mle,variance_sum,6747.7298924421175
sample_density_axis,sample_fraction_pct,5,kriging,mse,3.3122649297599
sample_density_axis,sample_fraction_pct,5,kriging,umg,0.9490962589323244
sample_density_axis,sample_fraction_pct,5,kriging,variance_mean,3.048172799344494
sample_density_axis,sample_fraction_pct,5,kriging,variance_sum,7251.603089640551
sample_density_axis,sample_fraction_pct,5,rbf_bootstrap,mse,3.752418489225868
sample_density_axis,sample_fraction_pct,5,rbf_bootstrap,umg,0.3989911727616645
sample_density_axis,sample_fraction_pct,5,rbf_bootstrap,variance_mean,0.35163945487719084
sample_density_axis,sample_fraction_pct,5,rbf_bootstrap,variance_sum,836.550263152837
sample_density_axis,sample_fraction_pct,5,sgs,mse,3.612560450616712
sample_density_axis,sample_fraction_pct,5,sgs,umg,0.9043295502311895
sample_density_axis,sample_fraction_pct,5,sgs,variance_mean,2.9398253208330978
sample_density_axis,sample_fraction_pct,5,sgs,variance_sum,6993.84443826194
sample_density_axis,sample_fraction_pct,2,gp_mle,mse,3.8126452735175507
sample_density_axis,sample_fraction_pct,2,gp_mle,umg,0.9929957035445757
sample_density_axis,sample_fraction_pct,2,gp_mle,variance_mean,4.289903858286342
sample_density_axis,sample_fraction_pct,2,gp_mle,variance_sum,10510.264452801539
sample_density_axis,sample_fraction_pct,2,kriging,mse,4.722586839899652
sample_density_axis,sample_fraction_pct,2,kriging,umg,0.9840741138560687
sample_density_axis,sample_fraction_pct,2,kriging,variance_mean,5.721536958367407
sample_density_axis,sample_fraction_pct,2,kriging,variance_sum,14017.765548000149
sample_density_axis,sample_fraction_pct,2,rbf_bootstrap,mse,3.917541700458571
sample_density_axis,sample_fraction_pct,2,rbf_bootstrap,umg,0.5493469387755103
sample_density_axis,sample_fraction_pct,2,rbf_bootstrap,variance_mean,0.8671441218147738
sample_density_axis,sample_fraction_pct,2,rbf_bootstrap,variance_sum,2124.503098446196
sample_density_axis,sample_fraction_pct,2,sgs,mse,4.696936929936932
sample_density_axis,sample_fraction_pct,2,sgs,umg,0.9902524167561761
sample_density_axis,sample_fraction_pct,2,sgs,variance_mean,5.622665456530516
sample_density_axis,sample_fraction_pct,2,sgs,variance_sum,13775.530368499763
sample_density_axis,sample_fraction_pct,1,gp_mle,mse,7.871656782460114
sample_density_axis,sample_fraction_pct,1,gp_mle,umg,0.9751068580542266
sample_density_axis,sample_fraction_pct,1,gp_mle,variance_mean,7.1394079359909774
sample_density_axis,sample_fraction_pct,1,gp_mle,variance_sum,17670.03464157767
sample_density_axis,sample_fraction_pct,1,kriging,mse,6.850659020331698
sample_density_axis,sample_fraction_pct,1,kriging,umg,0.9737373737373738
sample_density_axis,sample_fraction_pct,1,kriging,variance_mean,6.822976634621161
sample_density_axis,sample_fraction_pct,1,kriging,variance_sum,16886.867170687372
sample_density_axis,sample_fraction_pct,1,rbf_bootstrap,mse,8.174555359818418
sample_density_axis,sample_fraction_pct,1,rbf_bootstrap,umg,0.5306262626262627
sample_density_axis,sample_fraction_pct,1,rbf_bootstrap,variance_mean,1.33535276472833
sample_density_axis,sample_fraction_pct,1,rbf_bootstrap,variance_sum,3304.998092702617
sample_density_axis,sample_fraction_pct,1,sgs,mse,7.755562431028041
sample_density_axis,sample_fraction_pct,1,sgs,umg,0.9103434343434343
sample_density_axis,sample_fraction_pct,1,sgs,variance_mean,6.20194603373975
sample_density_axis,sample_fraction_pct,1,sgs,variance_sum,15349.816433505881
