axis_level,n_samples_actual,method,n_cells_evaluated,mse,mse_in_metrics_csv,bias,bias_squared,variance_of_error,bias_squared_share_of_mse_pct
5,121,kriging,2379,3.3122649297598996,3.3122649297599,-0.12021661910244186,0.014452035508421588,3.297812894251478,0.4363188275965954
5,121,sgs,2379,3.6125604506167117,3.612560450616712,-0.1309934846898578,0.01715929303119201,3.59540115758552,0.4749897826142312
5,121,rbf_bootstrap,2379,3.7524184892258683,3.752418489225868,-0.1375837944839179,0.018929300504592954,3.7334891887212747,0.5044560077439046
5,121,gp_mle,2379,3.3998837020315715,3.3998837020315715,-0.07331871871679542,0.005375634514272567,3.394508067517299,0.1581123057550587
2,50,kriging,2450,4.722586839899652,4.722586839899652,-0.4243592135434214,0.18008074211919112,4.5425060977804605,3.8131801113268162
2,50,sgs,2450,4.696936929936932,4.696936929936932,-0.10631158287067481,0.011302152652468358,4.685634777284464,0.24062815449855568
2,50,rbf_bootstrap,2450,3.917541700458571,3.917541700458571,-0.017389434806439414,0.00030239244288740656,3.917239308015684,0.0077189336070630655
2,50,gp_mle,2450,3.8126452735175507,3.812645273517551,-0.13545429329337594,0.018347865571607908,3.794297407945942,0.4812371530876815
1,25,kriging,2475,6.850659020331698,6.850659020331698,1.0558656244952758,1.1148522169907986,5.735806803340899,16.27364920195399
1,25,sgs,2475,7.755562431028041,7.755562431028041,1.0997235055085415,1.209391788567995,6.546170642460047,15.593863105653366
1,25,rbf_bootstrap,2475,8.174555359818418,8.174555359818418,1.113992278736717,1.2409787970850232,6.933576562733397,15.180994469558392
1,25,gp_mle,2475,7.871656782460114,7.871656782460114,1.0390257551782172,1.0795745199236644,6.792082262536448,13.714705172730703
