replicate_id,sample_seed,n_samples_requested,n_samples_actual,n_cells_total,n_cells_excluded,n_cells_evaluated,note
rep0,1001,125,120,2500,120,2380,"Conditioning-sample cells are excluded from evaluation for all 4 methods identically WITHIN a replicate, but the excluded set can differ slightly BETWEEN replicates (different sample_seed -> different cells, and n_samples_actual is not always exactly 125 after grid-cell dedup)."
rep1,1002,125,121,2500,121,2379,"Conditioning-sample cells are excluded from evaluation for all 4 methods identically WITHIN a replicate, but the excluded set can differ slightly BETWEEN replicates (different sample_seed -> different cells, and n_samples_actual is not always exactly 125 after grid-cell dedup)."
rep2,1003,125,124,2500,124,2376,"Conditioning-sample cells are excluded from evaluation for all 4 methods identically WITHIN a replicate, but the excluded set can differ slightly BETWEEN replicates (different sample_seed -> different cells, and n_samples_actual is not always exactly 125 after grid-cell dedup)."
rep3,1004,125,122,2500,122,2378,"Conditioning-sample cells are excluded from evaluation for all 4 methods identically WITHIN a replicate, but the excluded set can differ slightly BETWEEN replicates (different sample_seed -> different cells, and n_samples_actual is not always exactly 125 after grid-cell dedup)."
rep4,1005,125,119,2500,119,2381,"Conditioning-sample cells are excluded from evaluation for all 4 methods identically WITHIN a replicate, but the excluded set can differ slightly BETWEEN replicates (different sample_seed -> different cells, and n_samples_actual is not always exactly 125 after grid-cell dedup)."
rep5,1006,125,120,2500,120,2380,"Conditioning-sample cells are excluded from evaluation for all 4 methods identically WITHIN a replicate, but the excluded set can differ slightly BETWEEN replicates (different sample_seed -> different cells, and n_samples_actual is not always exactly 125 after grid-cell dedup)."
rep6,1007,125,121,2500,121,2379,"Conditioning-sample cells are excluded from evaluation for all 4 methods identically WITHIN a replicate, but the excluded set can differ slightly BETWEEN replicates (different sample_seed -> different cells, and n_samples_actual is not always exactly 125 after grid-cell dedup)."
rep7,1008,125,118,2500,118,2382,"Conditioning-sample cells are excluded from evaluation for all 4 methods identically WITHIN a replicate, but the excluded set can differ slightly BETWEEN replicates (different sample_seed -> different cells, and n_samples_actual is not always exactly 125 after grid-cell dedup)."
rep8,1009,125,121,2500,121,2379,"Conditioning-sample cells are excluded from evaluation for all 4 methods identically WITHIN a replicate, but the excluded set can differ slightly BETWEEN replicates (different sample_seed -> different cells, and n_samples_actual is not always exactly 125 after grid-cell dedup)."
rep9,1010,125,120,2500,120,2380,"Conditioning-sample cells are excluded from evaluation for all 4 methods identically WITHIN a replicate, but the excluded set can differ slightly BETWEEN replicates (different sample_seed -> different cells, and n_samples_actual is not always exactly 125 after grid-cell dedup)."
