# kriging/sgs are intentionally NOT represented in this table: their variogram range is a FIXED INPUT CONSTANT (300 m) at every level and every replicate, never fitted from the conditioning data, so there is no per-replicate value to aggregate for them (see src/experiments/evaluate_sample_replicate_axis.py module docstring).
axis_level,replicate,method,length_scale_m,length_definition,source
5,rep0,gp_mle,223.61653231041743,MLE-fitted sklearn RBF kernel length_scale converted to a practical range at the 0.05 correlation cutoff (factor=sqrt(2*ln(20))~=2.4477),results/raw/gp_mle/20260918T161948245046Z/manifest.json:params.fitted_hyperparameters.length_scale_m
5,rep0,rbf_bootstrap,219.9214030112556,CV-tuned gaussian RBF interpolation kernel shape parameter epsilon converted to an equivalent 0.05-cutoff distance (r=sqrt(-ln(0.05))/epsilon); NOT a fitted spatial correlation length -- see module docstring,results/raw/rbf_bootstrap/20260918T161937800451Z/manifest.json:params.best_epsilon
5,rep1,gp_mle,240.10834688181095,MLE-fitted sklearn RBF kernel length_scale converted to a practical range at the 0.05 correlation cutoff (factor=sqrt(2*ln(20))~=2.4477),results/raw/gp_mle/20260918T161948110004Z/manifest.json:params.fitted_hyperparameters.length_scale_m
5,rep1,rbf_bootstrap,219.9214030112556,CV-tuned gaussian RBF interpolation kernel shape parameter epsilon converted to an equivalent 0.05-cutoff distance (r=sqrt(-ln(0.05))/epsilon); NOT a fitted spatial correlation length -- see module docstring,results/raw/rbf_bootstrap/20260918T161937561217Z/manifest.json:params.best_epsilon
5,rep2,gp_mle,261.4293098685727,MLE-fitted sklearn RBF kernel length_scale converted to a practical range at the 0.05 correlation cutoff (factor=sqrt(2*ln(20))~=2.4477),results/raw/gp_mle/20260918T161947908382Z/manifest.json:params.fitted_hyperparameters.length_scale_m
5,rep2,rbf_bootstrap,274.2481756762073,CV-tuned gaussian RBF interpolation kernel shape parameter epsilon converted to an equivalent 0.05-cutoff distance (r=sqrt(-ln(0.05))/epsilon); NOT a fitted spatial correlation length -- see module docstring,results/raw/rbf_bootstrap/20260918T161937482911Z/manifest.json:params.best_epsilon
5,rep3,gp_mle,229.62642960268366,MLE-fitted sklearn RBF kernel length_scale converted to a practical range at the 0.05 correlation cutoff (factor=sqrt(2*ln(20))~=2.4477),results/raw/gp_mle/20260918T162001077066Z/manifest.json:params.fitted_hyperparameters.length_scale_m
5,rep3,rbf_bootstrap,274.2481756762073,CV-tuned gaussian RBF interpolation kernel shape parameter epsilon converted to an equivalent 0.05-cutoff distance (r=sqrt(-ln(0.05))/epsilon); NOT a fitted spatial correlation length -- see module docstring,results/raw/rbf_bootstrap/20260918T161945122489Z/manifest.json:params.best_epsilon
5,rep4,gp_mle,179.0591674421537,MLE-fitted sklearn RBF kernel length_scale converted to a practical range at the 0.05 correlation cutoff (factor=sqrt(2*ln(20))~=2.4477),results/raw/gp_mle/20260918T162008856670Z/manifest.json:params.fitted_hyperparameters.length_scale_m
5,rep4,rbf_bootstrap,176.35640923840472,CV-tuned gaussian RBF interpolation kernel shape parameter epsilon converted to an equivalent 0.05-cutoff distance (r=sqrt(-ln(0.05))/epsilon); NOT a fitted spatial correlation length -- see module docstring,results/raw/rbf_bootstrap/20260918T161954335960Z/manifest.json:params.best_epsilon
5,rep5,gp_mle,270.64042777924607,MLE-fitted sklearn RBF kernel length_scale converted to a practical range at the 0.05 correlation cutoff (factor=sqrt(2*ln(20))~=2.4477),results/raw/gp_mle/20260918T162016253278Z/manifest.json:params.fitted_hyperparameters.length_scale_m
5,rep5,rbf_bootstrap,274.2481756762073,CV-tuned gaussian RBF interpolation kernel shape parameter epsilon converted to an equivalent 0.05-cutoff distance (r=sqrt(-ln(0.05))/epsilon); NOT a fitted spatial correlation length -- see module docstring,results/raw/rbf_bootstrap/20260918T162000794894Z/manifest.json:params.best_epsilon
5,rep6,gp_mle,258.16552481920405,MLE-fitted sklearn RBF kernel length_scale converted to a practical range at the 0.05 correlation cutoff (factor=sqrt(2*ln(20))~=2.4477),results/raw/gp_mle/20260918T162024842665Z/manifest.json:params.fitted_hyperparameters.length_scale_m
5,rep6,rbf_bootstrap,426.4776210092457,CV-tuned gaussian RBF interpolation kernel shape parameter epsilon converted to an equivalent 0.05-cutoff distance (r=sqrt(-ln(0.05))/epsilon); NOT a fitted spatial correlation length -- see module docstring,results/raw/rbf_bootstrap/20260918T162014953239Z/manifest.json:params.best_epsilon
5,rep7,gp_mle,234.86496040812088,MLE-fitted sklearn RBF kernel length_scale converted to a practical range at the 0.05 correlation cutoff (factor=sqrt(2*ln(20))~=2.4477),results/raw/gp_mle/20260918T162035303801Z/manifest.json:params.fitted_hyperparameters.length_scale_m
5,rep7,rbf_bootstrap,274.2481756762073,CV-tuned gaussian RBF interpolation kernel shape parameter epsilon converted to an equivalent 0.05-cutoff distance (r=sqrt(-ln(0.05))/epsilon); NOT a fitted spatial correlation length -- see module docstring,results/raw/rbf_bootstrap/20260918T162022120617Z/manifest.json:params.best_epsilon
5,rep8,gp_mle,218.26661488142972,MLE-fitted sklearn RBF kernel length_scale converted to a practical range at the 0.05 correlation cutoff (factor=sqrt(2*ln(20))~=2.4477),results/raw/gp_mle/20260918T162050063780Z/manifest.json:params.fitted_hyperparameters.length_scale_m
5,rep8,rbf_bootstrap,219.9214030112556,CV-tuned gaussian RBF interpolation kernel shape parameter epsilon converted to an equivalent 0.05-cutoff distance (r=sqrt(-ln(0.05))/epsilon); NOT a fitted spatial correlation length -- see module docstring,results/raw/rbf_bootstrap/20260918T162039881275Z/manifest.json:params.best_epsilon
5,rep9,gp_mle,234.33374410789685,MLE-fitted sklearn RBF kernel length_scale converted to a practical range at the 0.05 correlation cutoff (factor=sqrt(2*ln(20))~=2.4477),results/raw/gp_mle/20260918T162109707579Z/manifest.json:params.fitted_hyperparameters.length_scale_m
5,rep9,rbf_bootstrap,176.35640923840472,CV-tuned gaussian RBF interpolation kernel shape parameter epsilon converted to an equivalent 0.05-cutoff distance (r=sqrt(-ln(0.05))/epsilon); NOT a fitted spatial correlation length -- see module docstring,results/raw/rbf_bootstrap/20260918T162055731259Z/manifest.json:params.best_epsilon
2,rep0,gp_mle,216.37700539791086,MLE-fitted sklearn RBF kernel length_scale converted to a practical range at the 0.05 correlation cutoff (factor=sqrt(2*ln(20))~=2.4477),results/raw/gp_mle/20260918T165224272148Z/manifest.json:params.fitted_hyperparameters.length_scale_m
2,rep0,rbf_bootstrap,219.9214030112556,CV-tuned gaussian RBF interpolation kernel shape parameter epsilon converted to an equivalent 0.05-cutoff distance (r=sqrt(-ln(0.05))/epsilon); NOT a fitted spatial correlation length -- see module docstring,results/raw/rbf_bootstrap/20260918T165212859109Z/manifest.json:params.best_epsilon
2,rep1,gp_mle,253.12019413740268,MLE-fitted sklearn RBF kernel length_scale converted to a practical range at the 0.05 correlation cutoff (factor=sqrt(2*ln(20))~=2.4477),results/raw/gp_mle/20260918T165224149439Z/manifest.json:params.fitted_hyperparameters.length_scale_m
2,rep1,rbf_bootstrap,341.9951893353393,CV-tuned gaussian RBF interpolation kernel shape parameter epsilon converted to an equivalent 0.05-cutoff distance (r=sqrt(-ln(0.05))/epsilon); NOT a fitted spatial correlation length -- see module docstring,results/raw/rbf_bootstrap/20260918T165213038655Z/manifest.json:params.best_epsilon
2,rep2,gp_mle,325.2824020272503,MLE-fitted sklearn RBF kernel length_scale converted to a practical range at the 0.05 correlation cutoff (factor=sqrt(2*ln(20))~=2.4477),results/raw/gp_mle/20260918T165223617358Z/manifest.json:params.fitted_hyperparameters.length_scale_m
2,rep2,rbf_bootstrap,341.9951893353393,CV-tuned gaussian RBF interpolation kernel shape parameter epsilon converted to an equivalent 0.05-cutoff distance (r=sqrt(-ln(0.05))/epsilon); NOT a fitted spatial correlation length -- see module docstring,results/raw/rbf_bootstrap/20260918T165213030120Z/manifest.json:params.best_epsilon
2,rep3,gp_mle,183.20208742931544,MLE-fitted sklearn RBF kernel length_scale converted to a practical range at the 0.05 correlation cutoff (factor=sqrt(2*ln(20))~=2.4477),results/raw/gp_mle/20260918T165234749552Z/manifest.json:params.fitted_hyperparameters.length_scale_m
2,rep3,rbf_bootstrap,531.829589694499,CV-tuned gaussian RBF interpolation kernel shape parameter epsilon converted to an equivalent 0.05-cutoff distance (r=sqrt(-ln(0.05))/epsilon); NOT a fitted spatial correlation length -- see module docstring,results/raw/rbf_bootstrap/20260918T165218889314Z/manifest.json:params.best_epsilon
2,rep4,gp_mle,301.08272761839396,MLE-fitted sklearn RBF kernel length_scale converted to a practical range at the 0.05 correlation cutoff (factor=sqrt(2*ln(20))~=2.4477),results/raw/gp_mle/20260918T165244252935Z/manifest.json:params.fitted_hyperparameters.length_scale_m
2,rep4,rbf_bootstrap,426.4776210092457,CV-tuned gaussian RBF interpolation kernel shape parameter epsilon converted to an equivalent 0.05-cutoff distance (r=sqrt(-ln(0.05))/epsilon); NOT a fitted spatial correlation length -- see module docstring,results/raw/rbf_bootstrap/20260918T165230110794Z/manifest.json:params.best_epsilon
2,rep5,gp_mle,296.27656090300036,MLE-fitted sklearn RBF kernel length_scale converted to a practical range at the 0.05 correlation cutoff (factor=sqrt(2*ln(20))~=2.4477),results/raw/gp_mle/20260918T165250172327Z/manifest.json:params.fitted_hyperparameters.length_scale_m
2,rep5,rbf_bootstrap,274.2481756762073,CV-tuned gaussian RBF interpolation kernel shape parameter epsilon converted to an equivalent 0.05-cutoff distance (r=sqrt(-ln(0.05))/epsilon); NOT a fitted spatial correlation length -- see module docstring,results/raw/rbf_bootstrap/20260918T165236088877Z/manifest.json:params.best_epsilon
2,rep6,gp_mle,428.29341416288435,MLE-fitted sklearn RBF kernel length_scale converted to a practical range at the 0.05 correlation cutoff (factor=sqrt(2*ln(20))~=2.4477),results/raw/gp_mle/20260918T165300085564Z/manifest.json:params.fitted_hyperparameters.length_scale_m
2,rep6,rbf_bootstrap,827.0371084000278,CV-tuned gaussian RBF interpolation kernel shape parameter epsilon converted to an equivalent 0.05-cutoff distance (r=sqrt(-ln(0.05))/epsilon); NOT a fitted spatial correlation length -- see module docstring,results/raw/rbf_bootstrap/20260918T165250191808Z/manifest.json:params.best_epsilon
2,rep7,gp_mle,728.0076488826114,MLE-fitted sklearn RBF kernel length_scale converted to a practical range at the 0.05 correlation cutoff (factor=sqrt(2*ln(20))~=2.4477),results/raw/gp_mle/20260918T165310238001Z/manifest.json:params.fitted_hyperparameters.length_scale_m
2,rep7,rbf_bootstrap,341.9951893353393,CV-tuned gaussian RBF interpolation kernel shape parameter epsilon converted to an equivalent 0.05-cutoff distance (r=sqrt(-ln(0.05))/epsilon); NOT a fitted spatial correlation length -- see module docstring,results/raw/rbf_bootstrap/20260918T165256247099Z/manifest.json:params.best_epsilon
2,rep8,gp_mle,375.3913723075234,MLE-fitted sklearn RBF kernel length_scale converted to a practical range at the 0.05 correlation cutoff (factor=sqrt(2*ln(20))~=2.4477),results/raw/gp_mle/20260918T165326349020Z/manifest.json:params.fitted_hyperparameters.length_scale_m
2,rep8,rbf_bootstrap,663.2064580675546,CV-tuned gaussian RBF interpolation kernel shape parameter epsilon converted to an equivalent 0.05-cutoff distance (r=sqrt(-ln(0.05))/epsilon); NOT a fitted spatial correlation length -- see module docstring,results/raw/rbf_bootstrap/20260918T165315955538Z/manifest.json:params.best_epsilon
2,rep9,gp_mle,243.9110597835494,MLE-fitted sklearn RBF kernel length_scale converted to a practical range at the 0.05 correlation cutoff (factor=sqrt(2*ln(20))~=2.4477),results/raw/gp_mle/20260918T165343006034Z/manifest.json:params.fitted_hyperparameters.length_scale_m
2,rep9,rbf_bootstrap,176.35640923840472,CV-tuned gaussian RBF interpolation kernel shape parameter epsilon converted to an equivalent 0.05-cutoff distance (r=sqrt(-ln(0.05))/epsilon); NOT a fitted spatial correlation length -- see module docstring,results/raw/rbf_bootstrap/20260918T165331672459Z/manifest.json:params.best_epsilon
1,rep0,gp_mle,144.60016792068575,MLE-fitted sklearn RBF kernel length_scale converted to a practical range at the 0.05 correlation cutoff (factor=sqrt(2*ln(20))~=2.4477),results/raw/gp_mle/20260918T165352338531Z/manifest.json:params.fitted_hyperparameters.length_scale_m
1,rep0,rbf_bootstrap,176.35640923840472,CV-tuned gaussian RBF interpolation kernel shape parameter epsilon converted to an equivalent 0.05-cutoff distance (r=sqrt(-ln(0.05))/epsilon); NOT a fitted spatial correlation length -- see module docstring,results/raw/rbf_bootstrap/20260918T165337007254Z/manifest.json:params.best_epsilon
1,rep1,gp_mle,217.76909860274714,MLE-fitted sklearn RBF kernel length_scale converted to a practical range at the 0.05 correlation cutoff (factor=sqrt(2*ln(20))~=2.4477),results/raw/gp_mle/20260918T165358490498Z/manifest.json:params.fitted_hyperparameters.length_scale_m
1,rep1,rbf_bootstrap,141.4213562373095,CV-tuned gaussian RBF interpolation kernel shape parameter epsilon converted to an equivalent 0.05-cutoff distance (r=sqrt(-ln(0.05))/epsilon); NOT a fitted spatial correlation length -- see module docstring,results/raw/rbf_bootstrap/20260918T165346518224Z/manifest.json:params.best_epsilon
1,rep2,gp_mle,213.3162413012918,MLE-fitted sklearn RBF kernel length_scale converted to a practical range at the 0.05 correlation cutoff (factor=sqrt(2*ln(20))~=2.4477),results/raw/gp_mle/20260918T165406442112Z/manifest.json:params.fitted_hyperparameters.length_scale_m
1,rep2,rbf_bootstrap,219.9214030112556,CV-tuned gaussian RBF interpolation kernel shape parameter epsilon converted to an equivalent 0.05-cutoff distance (r=sqrt(-ln(0.05))/epsilon); NOT a fitted spatial correlation length -- see module docstring,results/raw/rbf_bootstrap/20260918T165354423892Z/manifest.json:params.best_epsilon
1,rep3,gp_mle,352.40422703104963,MLE-fitted sklearn RBF kernel length_scale converted to a practical range at the 0.05 correlation cutoff (factor=sqrt(2*ln(20))~=2.4477),results/raw/gp_mle/20260918T165414307239Z/manifest.json:params.fitted_hyperparameters.length_scale_m
1,rep3,rbf_bootstrap,531.829589694499,CV-tuned gaussian RBF interpolation kernel shape parameter epsilon converted to an equivalent 0.05-cutoff distance (r=sqrt(-ln(0.05))/epsilon); NOT a fitted spatial correlation length -- see module docstring,results/raw/rbf_bootstrap/20260918T165403590240Z/manifest.json:params.best_epsilon
1,rep4,gp_mle,225.89028339617104,MLE-fitted sklearn RBF kernel length_scale converted to a practical range at the 0.05 correlation cutoff (factor=sqrt(2*ln(20))~=2.4477),results/raw/gp_mle/20260918T165422689655Z/manifest.json:params.fitted_hyperparameters.length_scale_m
1,rep4,rbf_bootstrap,274.2481756762073,CV-tuned gaussian RBF interpolation kernel shape parameter epsilon converted to an equivalent 0.05-cutoff distance (r=sqrt(-ln(0.05))/epsilon); NOT a fitted spatial correlation length -- see module docstring,results/raw/rbf_bootstrap/20260918T165409603105Z/manifest.json:params.best_epsilon
1,rep5,gp_mle,166.72659952748512,MLE-fitted sklearn RBF kernel length_scale converted to a practical range at the 0.05 correlation cutoff (factor=sqrt(2*ln(20))~=2.4477),results/raw/gp_mle/20260918T165431081211Z/manifest.json:params.fitted_hyperparameters.length_scale_m
1,rep5,rbf_bootstrap,1603.8130606994978,CV-tuned gaussian RBF interpolation kernel shape parameter epsilon converted to an equivalent 0.05-cutoff distance (r=sqrt(-ln(0.05))/epsilon); NOT a fitted spatial correlation length -- see module docstring,results/raw/rbf_bootstrap/20260918T165420322949Z/manifest.json:params.best_epsilon
1,rep6,gp_mle,555.6871430867106,MLE-fitted sklearn RBF kernel length_scale converted to a practical range at the 0.05 correlation cutoff (factor=sqrt(2*ln(20))~=2.4477),results/raw/gp_mle/20260918T165438372738Z/manifest.json:params.fitted_hyperparameters.length_scale_m
1,rep6,rbf_bootstrap,1031.338537721246,CV-tuned gaussian RBF interpolation kernel shape parameter epsilon converted to an equivalent 0.05-cutoff distance (r=sqrt(-ln(0.05))/epsilon); NOT a fitted spatial correlation length -- see module docstring,results/raw/rbf_bootstrap/20260918T165427954375Z/manifest.json:params.best_epsilon
1,rep7,gp_mle,241.2744764923153,MLE-fitted sklearn RBF kernel length_scale converted to a practical range at the 0.05 correlation cutoff (factor=sqrt(2*ln(20))~=2.4477),results/raw/gp_mle/20260918T165448923604Z/manifest.json:params.fitted_hyperparameters.length_scale_m
1,rep7,rbf_bootstrap,531.829589694499,CV-tuned gaussian RBF interpolation kernel shape parameter epsilon converted to an equivalent 0.05-cutoff distance (r=sqrt(-ln(0.05))/epsilon); NOT a fitted spatial correlation length -- see module docstring,results/raw/rbf_bootstrap/20260918T165437258374Z/manifest.json:params.best_epsilon
1,rep8,gp_mle,739.9215132558131,MLE-fitted sklearn RBF kernel length_scale converted to a practical range at the 0.05 correlation cutoff (factor=sqrt(2*ln(20))~=2.4477),results/raw/gp_mle/20260918T165456040274Z/manifest.json:params.fitted_hyperparameters.length_scale_m
1,rep8,rbf_bootstrap,663.2064580675546,CV-tuned gaussian RBF interpolation kernel shape parameter epsilon converted to an equivalent 0.05-cutoff distance (r=sqrt(-ln(0.05))/epsilon); NOT a fitted spatial correlation length -- see module docstring,results/raw/rbf_bootstrap/20260918T165443829644Z/manifest.json:params.best_epsilon
1,rep9,gp_mle,374.1791323793309,MLE-fitted sklearn RBF kernel length_scale converted to a practical range at the 0.05 correlation cutoff (factor=sqrt(2*ln(20))~=2.4477),results/raw/gp_mle/20260918T165503941471Z/manifest.json:params.fitted_hyperparameters.length_scale_m
1,rep9,rbf_bootstrap,341.9951893353393,CV-tuned gaussian RBF interpolation kernel shape parameter epsilon converted to an equivalent 0.05-cutoff distance (r=sqrt(-ln(0.05))/epsilon); NOT a fitted spatial correlation length -- see module docstring,results/raw/rbf_bootstrap/20260918T165454256367Z/manifest.json:params.best_epsilon
